"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"6959",0.047465,0.0396575,0.048125,0.0287146666666667,0.05120325,0.06614875,0.060315,0.056749,0.05152825,0.0414993333333333,0.006911,0.025115,3,46.11432129,-92.06544535
"6960",0.05294,0.0432775,0.0525025,0.0286746666666667,0.05122825,0.06613875,0.0603075,0.0567815,0.05159075,0.0415156666666667,0.0069335,0.02753,3,46.12214034,-91.96238205
"6986",0.038865,0.0321833333333333,0.04523,0.0279113333333333,0.05202325,0.06609375,0.0601575,0.057769,0.05444075,0.0429426666666667,0.008221,-0.000230000000000008,3,46.29318289,-89.27360373
"6994",0.0508333333333333,0.0346325,0.0395275,0.0283013333333333,0.05228325,0.06609625,0.0601725,0.0577765,0.05511825,0.0437526666666667,0.006946,0.0171366666666667,3,46.33326404,-88.4432794
"6999",0.0443225,0.03853,0.0444225,0.0285813333333333,0.05243075,0.06610375,0.06023,0.0577465,0.05533075,0.0441126666666667,0.008896,0.0167725,3,46.35530476,-87.92375105
"7001",0.0430975,0.0363725,0.0490425,0.028558,0.05248075,0.06610875,0.0602575,0.057739,0.05539325,0.0441793333333333,0.00939725,0.000822500000000004,3,46.36347194,-87.71582773
"7028",0.044815,0.040915,0.04557,0.0288513333333333,0.05353325,0.06640875,0.0608225,0.0576565,0.05630325,0.043896,0.00904875,0.0126775,3,46.43734544,-84.90413435
"7094",0.04646,0.047455,0.0449975,0.0289213333333333,0.05111325,0.06625625,0.06045,0.056574,0.05126825,0.0414226666666667,0.00769850000000001,0.0202875,3,45.99413409,-92.67108821
"7096",0.048185,0.048985,0.048745,0.0288346666666667,0.05114825,0.06623625,0.0604275,0.0566115,0.05131575,0.0414493333333333,0.0085035,0.0264925,3,46.01075714,-92.4655494
"7097",0.050765,0.0455875,0.0524725,0.0287613333333333,0.05116575,0.06622375,0.0604175,0.056639,0.05134825,0.041466,0.008001,0.0259575,3,46.01893175,-92.3627344
"7098",0.0498675,0.05005,0.051095,0.0287146666666667,0.05118075,0.06621375,0.0604075,0.056664,0.05138575,0.041486,0.0073085,0.0257225,3,46.02701504,-92.25988945
"7099",0.05302,0.0463125,0.0523275,0.028658,0.05120325,0.06620375,0.0603975,0.0566915,0.05143075,0.0415026666666667,0.007191,0.02591,3,46.03500696,-92.15701485
"7100",0.0440525,0.043455,0.0460475,0.028678,0.05122075,0.06619625,0.06039,0.056719,0.05148075,0.041526,0.0067985,0.02177,3,46.04290748,-92.05411095
"7101",0.0518925,0.0480325,0.04859,0.0286346666666667,0.05124075,0.06618375,0.0603825,0.0567515,0.05153575,0.0415493333333333,0.006641,0.019685,3,46.05071655,-91.95117805
"7105",0.0531425,0.03684,0.0529675,0.028468,0.05133325,0.06615625,0.06035,0.0568865,0.05181075,0.0416626666666667,0.0073835,0.023805,3,46.08103766,-91.53916312
"7236",0.0491,0.050095,0.046315,0.0288546666666667,0.05115075,0.06629375,0.0605125,0.056579,0.05129075,0.041476,0.00737100000000001,0.022295,3,45.93112742,-92.55638
"7241",0.052655,0.03986,0.0522,0.0285946666666667,0.05123825,0.06624125,0.0604625,0.0566915,0.05144325,0.041556,0.0069535,0.0244325,3,45.97149225,-92.04280554
"7242",0.050755,0.0408,0.05114,0.0285846666666667,0.05125825,0.06622875,0.0604525,0.0567215,0.05149075,0.041576,0.006736,0.02413,3,45.97929137,-91.94000272
"7244",0.0425725,0.0437575,0.0497025,0.0285213333333333,0.05130325,0.06621875,0.0604375,0.056784,0.05160575,0.041626,0.006901,0.0113125,3,45.99461548,-91.73431175
"7251",0.023755,0.0379275,0.04558,0.0282446666666667,0.05147825,0.06617375,0.060385,0.0570365,0.05218575,0.041866,0.006946,0.0052375,3,46.0453675,-91.01353156
"7277",0.0480125,0.0345325,0.038655,0.0278546666666667,0.05232325,0.06617125,0.06029,0.0576615,0.05493575,0.0438926666666667,0.007651,0.01883,3,46.19445542,-88.32626504
"7288",0.04816,0.0265725,0.04438,0.0287546666666667,0.05264075,0.06621625,0.0604575,0.0576215,0.05531575,0.0442626666666667,0.0118435,0.00662749999999999,3,46.23874888,-87.18556302
"7375",0.0513,0.049995,0.043995,0.0289246666666667,0.05114825,0.06636125,0.0606025,0.056544,0.05130575,0.041516,0.007221,0.021485,3,45.84299898,-92.74941696
"7380",0.0510675,0.045085,0.05105,0.0286646666666667,0.05122325,0.06630875,0.060555,0.0566215,0.05135575,0.0415593333333333,0.007286,0.02328,3,45.88422342,-92.23678851
"7381",0.052725,0.040545,0.05195,0.028608,0.05124075,0.06629625,0.060545,0.0566465,0.05138325,0.041576,0.0072485,0.0237825,3,45.89219504,-92.1341733
"7382",0.052735,0.036215,0.052365,0.028558,0.05125825,0.06628875,0.060535,0.056669,0.05141825,0.0415926666666667,0.0071385,0.0229375,3,45.90007548,-92.031529
"7384",0.04957,0.036085,0.0524275,0.028438,0.05129575,0.06626625,0.060515,0.056724,0.05150075,0.041622,0.0069135,0.0205425,3,45.91556266,-91.82615442
"7389",0.0511325,0.0348625,0.0427975,0.0283113333333333,0.05141325,0.06623625,0.060475,0.0568865,0.05184075,0.0417726666666667,0.007521,0.017015,3,45.95268232,-91.31223155
"7407",0.0543375,0.03327,0.04459,0.027608,0.05199825,0.06620875,0.06034,0.057584,0.05384075,0.042765,0.004247,0.0098625,3,46.0673483,-89.45692002
"7424",0.010825,0.0289225,0.04083,0.0284246666666667,0.05249325,0.06621625,0.0604175,0.057589,0.05505575,0.044226,0.007331,0.010935,3,46.14826914,-87.69854102
"7525",0.0505925,0.0356175,0.05259,0.0284346666666667,0.05131575,0.06631375,0.060585,0.056699,0.05147575,0.041666,0.006941,0.0257325,3,45.84412461,-91.81516562
"7558",0.042965,0.0340175,0.04687,0.0277213333333333,0.05230325,0.06624125,0.06038,0.0575765,0.05469075,0.0438693333333333,0.00744475,0.01408,3,46.04648157,-88.41653088
"7571",0.0356675,0.0383475,0.0490625,0.0285413333333333,0.05267325,0.06630375,0.060575,0.057529,0.05513325,0.0442726666666667,0.008326,0.009425,3,46.09869338,-87.07189587
"7582",0.04367,0.0361825,0.0413725,0.028768,0.05308825,0.06642375,0.0607725,0.057529,0.05557325,0.044186,0.0050435,0.0153125,3,46.13067419,-85.93242259
"7679",0.04326,0.0329975,0.0529825,0.0278446666666667,0.05168325,0.06629125,0.0605325,0.0571215,0.05244075,0.0421393333333333,0.00757850000000001,0.00841749999999999,3,45.86420475,-90.47002708
"7704",0.0378525,0.0399725,0.04965,0.0281446666666667,0.05243575,0.06627875,0.06048,0.057499,0.05478575,0.0442193333333333,0.00744225,0.0124725,3,45.99668385,-87.89368223
"7797",0.044365,0.0491175,0.0437825,0.0289346666666667,0.05124325,0.06650625,0.0608175,0.056559,0.05151825,0.0417426666666667,0.006861,0.0252425,3,45.62046849,-92.81510696
"7845",0.01466,0.0349025,0.04959,0.028048,0.05243575,0.06631125,0.0605225,0.057454,0.05468825,0.044246,0.0073735,0.010755,3,45.924958,-87.88771477
"7962",0.041365,0.032835,0.0522925,0.0276613333333333,0.05175575,0.06637625,0.0606375,0.0570915,0.05238325,0.042226,0.00730850000000001,0.01766,3,45.72747285,-90.34901078
"7986",0.032015,0.035385,0.0427425,0.0279546666666667,0.05243075,0.06634375,0.06056,0.0574115,0.05459575,0.0442826666666667,0.007426,0.01168,3,45.85323134,-87.88176261
"8123",0.0201625,0.036845,0.0498525,0.0276213333333333,0.05231575,0.06636125,0.0605475,0.0573865,0.05436325,0.0441326666666667,0.007721,0.0087425,3,45.76423457,-88.28724232
"8247",0.0208,0.03241,0.049355,0.0273646666666667,0.05188825,0.06645375,0.06071,0.057139,0.05254325,0.0424393333333333,0.0069685,0.0161,3,45.60289189,-90.02389986
"8250",0.0444625,0.03206,0.05044,0.027208,0.05197575,0.06644875,0.06067,0.057239,0.05286825,0.042626,0.005196,0.0177975,3,45.62062864,-89.71671028
"8264",0.020035,0.0444125,0.0496775,0.027528,0.05230575,0.06639125,0.060585,0.0573365,0.05427325,0.0441793333333333,0.0072835,0.0088775,3,45.69252781,-88.2807967
"8266",0.015705,0.0426575,0.04596,0.027658,0.05235825,0.06639375,0.060605,0.057329,0.05434825,0.0442926666666667,0.0071935,0.01174,3,45.70133477,-88.07538189
"8267",0.017395,0.0378775,0.0405725,0.027718,0.05238325,0.06639625,0.06062,0.0573265,0.05438575,0.0443226666666667,0.0071035,0.01189,3,45.70560078,-87.97265064
"8268",0.03118,0.0429925,0.0419125,0.0277746666666667,0.05241325,0.06640375,0.0606375,0.0573265,0.05441825,0.044346,0.007176,0.0119175,3,45.70977511,-87.86990393
"8269",0.030515,0.036115,0.045695,0.0278146666666667,0.05244075,0.06640625,0.06065,0.057324,0.05444575,0.044356,0.0071085,0.0129475,3,45.71385773,-87.76714211
"8385",0.0290875,0.03296,0.050675,0.027488,0.05182325,0.06650375,0.0608,0.057004,0.05222325,0.0423593333333333,0.0068735,0.00830750000000001,3,45.51276276,-90.32186592
"8386",0.028895,0.03277,0.048155,0.0274213333333333,0.05185075,0.06649875,0.060785,0.0570415,0.05230325,0.042396,0.006956,0.0142466666666667,3,45.5190318,-90.2196871
"8387",0.0210525,0.0326,0.0476575,0.0273613333333333,0.05187575,0.06649625,0.0607725,0.057074,0.05239075,0.0424326666666667,0.0069185,0.0072325,3,45.52520984,-90.1174857
