"","d.alb.jan","d.alb.feb","d.alb.mar","d.alb.apr","d.alb.may","d.alb.jun","d.alb.jul","d.alb.aug","d.alb.sep","d.alb.oct","d.alb.nov","d.alb.dec","convert.code","Lat","Lon"
"7845",0.01466,0.0349025,0.04959,0.028048,0.05243575,0.06631125,0.0605225,0.057454,0.05468825,0.044246,0.0073735,0.010755,3,45.924958,-87.88771477
"7846",0.0321775,0.0206,0.04051,0.0205166666666667,0.02954025,0.023565,0.0210425,0.021775,0.02193,0.0262033333333333,0.0083,0.01789,-1,45.92905624,-87.7845586
"7954",0.0430775,0.0205625,0.0384275,0.0186033333333333,0.0280725,0.0250775,0.0218275,0.0247475,0.0232775,0.0236,0.0074925,0.014455,-1,45.67384573,-91.1686847
"7957",0.0443125,0.0141025,0.037975,0.0186033333333333,0.02794,0.02494,0.0217075,0.024285,0.0230925,0.0236633333333333,0.00748000000000001,0.00495,-1,45.69463976,-90.86149137
"7958",0.0463525,0.013595,0.038625,0.01861,0.0278975,0.02486,0.021655,0.024125,0.0230425,0.02369,0.00751,0.016655,-1,45.70138883,-90.75904356
"7960",0.043095,0.013035,0.0389225,0.0186066666666667,0.0277825,0.0246675,0.0215275,0.0237675,0.02291,0.0237466666666667,0.00843,0.0214175,-1,45.71461335,-90.55407483
"7962",0.041365,0.032835,0.0522925,0.0276613333333333,0.05175575,0.06637625,0.0606375,0.0570915,0.05238325,0.042226,0.00730850000000001,0.01766,3,45.72747285,-90.34901078
"7963",0.0398825,0.01257,0.0352,0.0185633333333333,0.02763,0.0242825,0.0213275,0.0232225,0.022755,0.0238566666666667,0.008325,0.00520499999999999,-1,45.73376564,-90.24644383
"7964",0.0385975,0.0127275,0.03196,0.01855,0.02759,0.02415,0.0212675,0.0230375,0.0227125,0.0239033333333333,0.00758,0.01355,-1,45.73996707,-90.14385402
"7968",0.038205,0.0131,0.0267025,0.0184666666666667,0.0275525,0.0237775,0.0211275,0.0224325,0.0226525,0.0241433333333333,0.00712749999999999,0.01779,-1,45.76385875,-89.73327284
